timestamp,city,temperature,description
2026-04-20T19:05:01.348Z,Antalya,17.94,broken clouds
2026-04-20T20:44:38.113Z,Antalya,16.93,scattered clouds
2026-04-20T22:42:25.653Z,Antalya,16.28,few clouds
2026-04-21T02:33:28.478Z,Antalya,15.93,clear sky
2026-04-21T06:01:59.864Z,Antalya,17.62,clear sky
2026-04-21T09:25:40.659Z,Antalya,20.33,few clouds
2026-04-21T11:06:10.449Z,Antalya,18.34,clear sky
2026-04-21T13:25:39.317Z,Antalya,18.73,clear sky
2026-04-21T15:12:08.109Z,Antalya,18.56,clear sky
2026-04-21T17:00:51.330Z,Antalya,17.65,clear sky
2026-04-21T19:11:07.585Z,Antalya,16.33,clear sky
2026-04-21T20:52:23.234Z,Antalya,16.98,clear sky
2026-04-21T22:37:25.154Z,Antalya,16.23,clear sky
2026-04-22T02:31:40.443Z,Antalya,12.33,clear sky
2026-04-22T05:59:02.036Z,Antalya,16.82,scattered clouds
2026-04-22T08:02:11.953Z,Antalya,18.33,few clouds
2026-04-22T11:04:23.661Z,Antalya,20.33,scattered clouds
2026-04-22T13:26:04.717Z,Antalya,17.79,scattered clouds
2026-04-22T15:12:44.974Z,Antalya,17.84,scattered clouds
2026-04-22T16:59:29.087Z,Antalya,17.53,scattered clouds
2026-04-22T19:12:19.290Z,Antalya,18.33,broken clouds
2026-04-22T20:54:20.041Z,Antalya,17.06,overcast clouds
2026-04-22T22:47:15.065Z,Antalya,16.7,overcast clouds
2026-04-23T02:35:18.981Z,Antalya,15.33,broken clouds
2026-04-23T06:05:28.726Z,Antalya,16.42,broken clouds
2026-04-23T09:27:48.318Z,Antalya,19.33,broken clouds
2026-04-23T11:07:58.683Z,Antalya,17.6,broken clouds
2026-04-23T13:28:03.630Z,Antalya,18.33,broken clouds
2026-04-23T15:52:15.316Z,Antalya,18.33,broken clouds
2026-04-23T17:19:50.093Z,Antalya,18.33,broken clouds
2026-04-23T19:07:22.573Z,Antalya,18.33,broken clouds
2026-04-23T20:52:19.273Z,Antalya,18.33,broken clouds
2026-04-23T22:42:58.452Z,Antalya,17.33,broken clouds
2026-04-24T02:35:26.653Z,Antalya,14.33,broken clouds
2026-04-24T06:07:36.979Z,Antalya,16.33,broken clouds
2026-04-24T09:44:29.072Z,Antalya,20.33,broken clouds
2026-04-24T11:05:40.974Z,Antalya,20.33,scattered clouds
2026-04-24T13:22:32.151Z,Antalya,19.33,broken clouds
2026-04-24T15:07:33.100Z,Antalya,18.11,overcast clouds
2026-04-24T16:56:14.168Z,Antalya,18.33,broken clouds
2026-04-24T18:51:19.924Z,Antalya,18.33,broken clouds
2026-04-24T20:47:38.661Z,Antalya,17.33,broken clouds
2026-04-24T22:38:31.851Z,Antalya,16.33,broken clouds
2026-04-25T02:25:21.730Z,Antalya,14.33,broken clouds
2026-04-25T05:47:51.499Z,Antalya,18.33,scattered clouds
2026-04-25T07:15:31.229Z,Antalya,21.33,broken clouds
2026-04-25T08:52:09.138Z,Antalya,21.33,broken clouds
2026-04-25T10:42:55.410Z,Antalya,20.33,broken clouds
2026-04-25T13:03:18.044Z,Antalya,22.33,broken clouds
2026-04-25T14:40:50.830Z,Antalya,22.33,broken clouds
2026-04-25T16:40:26.669Z,Antalya,21.33,broken clouds
2026-04-25T18:52:30.598Z,Antalya,19.33,clear sky
2026-04-25T20:38:00.307Z,Antalya,18.33,clear sky
